14: 5:47.   0,24/ 7/2025,5250.0293,-246.1023,90.099998
14: 8:47.   0,24/ 7/2025,5250.0293,-246.1025,90.099998
14:11:47.   0,24/ 7/2025,5250.0293,-246.1033,90.099998
14:14:47.   0,24/ 7/2025,5250.0293,-246.1039,90.000000
14:17:47.   0,24/ 7/2025,5250.0532,-246.1479,88.699997
14:20:47.   0,24/ 7/2025,5250.0459,-246.1486,89.800003
14:23:47.   0,24/ 7/2025,5250.0044,-246.2159,85.500000
14:26:47.   0,24/ 7/2025,5250.4854,-246.1831,174.600006
14:29:47.   0,24/ 7/2025,5248.6895,-245.5140,338.700012
14:32:47.   0,24/ 7/2025,5250.8745,-245.5759,292.899994
14:35:47.   0,24/ 7/2025,5249.7817,-246.2037,91.699997
14:38:47.   0,24/ 7/2025,5249.2979,-244.6273,405.500000
14:41:47.   0,24/ 7/2025,5250.8945,-245.5791,293.600006
14:44:47.   0,24/ 7/2025,5249.6821,-246.2022,161.600006
14:47:47.   0,24/ 7/2025,5249.5703,-244.4527,373.299988
14:50:47.   0,24/ 7/2025,5249.9448,-246.2102,104.099998
14:53:47.   0,24/ 7/2025,5248.7651,-244.9453,333.600006
14:56:47.   0,24/ 7/2025,5250.7051,-246.0182,224.800003
14:59:47.   0,24/ 7/2025,5249.0513,-246.1950,258.200012
15: 2:47.   0,24/ 7/2025,5250.8511,-244.6182,350.500000
15: 5:47.   0,24/ 7/2025,5249.3701,-246.1888,229.100006
15: 8:47.   0,24/ 7/2025,5250.1538,-244.5615,418.000000
15:11:47.   0,24/ 7/2025,5249.7139,-246.2024,126.599998
15:14:47.   0,24/ 7/2025,5250.1758,-245.9696,97.400002
15:17:47.   0,24/ 7/2025,5250.1226,-245.9413,93.900002
15:20:47.   0,24/ 7/2025,5250.1221,-245.9414,94.000000
15:23:47.   0,24/ 7/2025,5250.1108,-245.9175,93.800003
15:26:47.   0,24/ 7/2025,5250.1113,-245.9123,95.099998
15:29:47.   0,24/ 7/2025,5250.1118,-245.9143,96.099998
15:32:47.   0,24/ 7/2025,5250.1157,-245.9127,96.400002
15:35:47.   0,24/ 7/2025,5250.1143,-245.9158,95.699997
15:38:47.   0,24/ 7/2025,5250.1123,-245.9177,95.400002
15:41:47.   0,24/ 7/2025,5250.1265,-245.9047,92.699997
15:44:47.   0,24/ 7/2025,5250.1094,-245.9160,90.400002
15:47:47.   0,24/ 7/2025,5250.1040,-245.9187,90.300003
15:50:47.   0,24/ 7/2025,5250.1177,-245.9060,96.500000
15:53:47.   0,24/ 7/2025,5250.1055,-245.9123,93.900002
15:56:47.   0,24/ 7/2025,5250.1074,-245.9120,94.500000
15:59:47.   0,24/ 7/2025,5250.1167,-245.9113,93.400002
16: 2:47.   0,24/ 7/2025,5250.1069,-245.9161,99.099998
16: 5:47.   0,24/ 7/2025,5250.1099,-245.9094,97.900002
16: 8:47.   0,24/ 7/2025,5250.0352,-246.0136,71.000000
16:11:47.   0,24/ 7/2025,5250.0366,-246.0578,76.000000
